OrderID,OrderDate,OrderMonth,CustomerID,Country,TotalQuantity,DistinctProducts,LineCount,OrderValueGBP,AvgUnitPriceGBP,MaxUnitPriceGBP
536365,2010-12-01,2010-12,17850,United Kingdom,40,7,7,139.12,3.48,7.65
536366,2010-12-01,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536367,2010-12-01,2010-12,13047,United Kingdom,83,12,12,278.73,3.36,9.95
536368,2010-12-01,2010-12,13047,United Kingdom,15,4,4,70.05,4.67,4.95
536369,2010-12-01,2010-12,13047,United Kingdom,3,1,1,17.85,5.95,5.95
536370,2010-12-01,2010-12,12583,France,446,19,19,801.86,1.8,3.75
536371,2010-12-01,2010-12,13748,United Kingdom,80,1,1,204.0,2.55,2.55
536372,2010-12-01,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536373,2010-12-01,2010-12,17850,United Kingdom,88,16,16,259.86,2.95,7.65
536374,2010-12-01,2010-12,15100,United Kingdom,32,1,1,350.4,10.95,10.95
536375,2010-12-01,2010-12,17850,United Kingdom,88,16,16,259.86,2.95,7.65
536376,2010-12-01,2010-12,15291,United Kingdom,112,2,2,328.8,2.94,3.45
536377,2010-12-01,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536378,2010-12-01,2010-12,14688,United Kingdom,454,19,19,444.98,0.98,3.75
536380,2010-12-01,2010-12,17809,United Kingdom,24,1,1,34.8,1.45,1.45
536381,2010-12-01,2010-12,15311,United Kingdom,198,34,35,449.98,2.27,6.75
536382,2010-12-01,2010-12,16098,United Kingdom,134,12,12,430.6,3.21,16.95
536384,2010-12-01,2010-12,18074,United Kingdom,190,13,13,489.6,2.58,12.75
536385,2010-12-01,2010-12,17420,United Kingdom,53,7,7,130.85,2.47,19.95
536386,2010-12-01,2010-12,16029,United Kingdom,236,3,3,508.2,2.15,4.95
536387,2010-12-01,2010-12,16029,United Kingdom,1440,5,5,3193.92,2.22,3.82
536388,2010-12-01,2010-12,16250,United Kingdom,108,14,14,226.14,2.09,7.95
